Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
280939,Rift Valley fever,,15.8812,-16.4999,Ndiébène Gandiole,Senegal,Africa,2020-10-05T00:00:00Z,2020-10-28T00:00:00Z,"Wild,Dorcas Gazelle,",WOAH (former OIE),,,Confirmed
160886,Rift Valley fever,,16.3064,-16.1256,Ross-béthio,Senegal,Africa,2003-10-01T00:00:00Z,2003-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
279135,Rift Valley fever,,16.0643411,-16.4496228,"Ranch de Bango, Dépt de Saint-Louis, saint-Louis region",Senegal,Africa,2020-09-03T00:00:00Z,2020-09-20T00:00:00Z,"Wild,Unspecified mammal,",FAO officer,,,Confirmed
160859,Rift Valley fever,,15.9571,-16.2526,Mpal ,Senegal,Africa,2001-07-01T00:00:00Z,2001-07-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160878,Rift Valley fever,,16.49554,-15.4462,dialawaly,Senegal,Africa,2003-10-01T00:00:00Z,2003-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160898,Rift Valley fever,,15.9571,-16.2526,Mpal ,Senegal,Africa,2005-09-01T00:00:00Z,2005-09-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160902,Rift Valley fever,,16.5604,-14.6861,Thillé baoubacar ,Senegal,Africa,2005-08-01T00:00:00Z,2005-08-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160880,Rift Valley fever,,16.01317,-16.13649,Gonio,Senegal,Africa,2003-10-01T00:00:00Z,2003-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160866,Rift Valley fever,,16.3064,-16.1256,Ross-béthio,Senegal,Africa,2001-08-01T00:00:00Z,2001-08-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160906,Rift Valley fever,,16.5604,-14.6861,Thillé baoubacar ,Senegal,Africa,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160861,Rift Valley fever,,16.5604,-15.0883,Ndioum,Senegal,Africa,2001-07-01T00:00:00Z,2001-07-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160883,Rift Valley fever,,15.9571,-16.2526,Mpal ,Senegal,Africa,2003-10-01T00:00:00Z,2003-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160891,Rift Valley fever,,15.9571,-16.2526,Mpal ,Senegal,Africa,2004-07-01T00:00:00Z,2004-07-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160869,Rift Valley fever,,16.054557,-13.856797,Galoya,Senegal,Africa,2002-12-01T00:00:00Z,2002-12-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160865,Rift Valley fever,,16.3064,-16.1256,Ross-béthio,Senegal,Africa,2001-07-01T00:00:00Z,2001-07-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160851,Rift Valley fever,,15.9571,-16.2526,Mpal ,Senegal,Africa,2000-05-01T00:00:00Z,2000-05-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160863,Rift Valley fever,,16.5604,-15.0883,Ndioum,Senegal,Africa,2001-09-01T00:00:00Z,2001-09-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160870,Rift Valley fever,,16.51,-15.5,Keur Mbaye ,Senegal,Africa,2002-01-01T00:00:00Z,2002-01-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160881,Rift Valley fever,,16.51218,-15.62085,guidakar,Senegal,Africa,2003-10-01T00:00:00Z,2003-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160860,Rift Valley fever,,16.5604,-15.0883,Ndioum,Senegal,Africa,2001-06-01T00:00:00Z,2001-06-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160904,Rift Valley fever,,15.9571,-16.2526,Mpal ,Senegal,Africa,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160868,Rift Valley fever,,16.05,-13.89,Bilé,Senegal,Africa,2002-11-01T00:00:00Z,2002-11-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160853,Rift Valley fever,,16.3064,-16.1256,Ross-béthio,Senegal,Africa,2000-05-01T00:00:00Z,2000-05-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
178910,Rift Valley fever,,15.8993,-16.5138,Gueumbeul ,Senegal,Africa,2013-09-10T00:00:00Z,2013-09-20T00:00:00Z,"Wild,Dorcas gazelle: Gazella dorcas(Bovidae),",WOAH (former OIE),,,Confirmed
160900,Rift Valley fever,,16.3064,-16.1256,Ross-béthio,Senegal,Africa,2005-09-01T00:00:00Z,2005-09-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160894,Rift Valley fever,,16.51,-15.5,Keur Mbaye,Senegal,Africa,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160892,Rift Valley fever,,16.3064,-16.1256,Ross-béthio,Senegal,Africa,2004-01-01T00:00:00Z,2004-01-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
173344,Rift Valley fever,,16.244972,-15.886728,Dagana,Senegal,Africa,,2004-11-01T00:00:00Z,"Domestic,sheep,",WOAH (former OIE),,,Confirmed
160901,Rift Valley fever,,16.5604,-14.6861,Thillé baoubacar ,Senegal,Africa,2005-09-01T00:00:00Z,2005-09-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160888,Rift Valley fever,,16.5604,-14.6861,Thillé baoubacar ,Senegal,Africa,2003-10-01T00:00:00Z,2003-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160903,Rift Valley fever,,16.51,-15.5,Keur Mbaye ,Senegal,Africa,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160899,Rift Valley fever,,16.3064,-16.1256,Ross-béthio,Senegal,Africa,2005-08-01T00:00:00Z,2005-08-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160874,Rift Valley fever,,16.3064,-16.1256,Ross-béthio,Senegal,Africa,2002-10-01T00:00:00Z,2002-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
