study_id,reservoir_id,reservoir_id_new,year,month,season,genus,species,common_name,sample_size,country,location_name,full_location_name,topography,ecoregion,gps_latitude,gps_longitude
24,41,res_41,1986,November,Dry,,,Sheep,92,Senegal,saint_louis,"Saint Louis, Senegal",,Sahelian_acacia_savanna,16.03115919,-16.4809644
24,42,res_42,1986,November,Dry,,,Sheep,390,Senegal,louga,"Louga, Senegal",,Sahelian_acacia_savanna,15.65191408,-16.24297533
24,43,res_43,1986,November,Dry,,,Sheep,48,Senegal,thies,"Thies, Senegal",,West_sudanian_savanna,14.79049824,-16.93620946
24,44,res_44,1986,November,Dry,,,Sheep,44,Senegal,diourbel,"Diourbel, Senegal",,West_sudanian_savanna,14.65561167,-16.2360584
24,45,res_45,1986,November,Dry,,,Sheep,41,Senegal,fatick,"Fatick, Senegal",,West_sudanian_savanna,14.33898566,-16.41200815
24,46,res_46,1986,November,Dry,,,Sheep,65,Senegal,kaolack,"Kaolack, Senegal",,West_sudanian_savanna,14.16116194,-16.08495934
24,47,res_47,1986,November,Dry,,,Sheep,96,Senegal,tambacounda,"Tambacounda, Senegal",,West_sudanian_savanna,13.77426198,-13.66926128
24,48,res_48,1986,November,Dry,,,Sheep,133,Senegal,kolda,"Kolda, Senegal",,Guinean_forest_savanna_mosaic,12.90069235,-14.94257852
24,49,res_49,1986,November,Dry,,,Sheep,37,Senegal,ziguinchor,"Ziguinchor, Senegal",,Guinean_forest_savanna_mosaic,12.56365266,-16.26208013
29,50,res_50,2003,July_to_october,Rainy,,,Sheep,100,Senegal,barkedji,"Barkedji, Senegal",,Sahelian_acacia_savanna,15.27752643,-14.86701138
29,51,res_51,2004,July_to_october,Rainy,,,Sheep,40,Senegal,barkedji,"Barkedji, Senegal",,Sahelian_acacia_savanna,15.27752643,-14.86701138
29,52,res_52,2003,July_to_october,Rainy,,,Sheep,40,Senegal,furdu,"Furdu, Senegal",,Sahelian_acacia_savanna,15.241429,-14.851091
29,53,res_53,2004,July_to_october,Rainy,,,Sheep,30,Senegal,furdu,"Furdu, Senegal",,Sahelian_acacia_savanna,15.241429,-14.851091
29,54,res_54,2003,July_to_october,Rainy,,,Sheep,86,Senegal,kangaledji,"Kangaledji, Senegal",,Sahelian_acacia_savanna,15.265711,-14.834741
29,55,res_55,2004,July_to_october,Rainy,,,Sheep,59,Senegal,kangaledji,"Kangaledji, Senegal",,Sahelian_acacia_savanna,15.265711,-14.834741
29,56,res_56,2003,July_to_october,Rainy,,,Sheep,90,Senegal,ngao,"Ngao, Senegal",,Sahelian_acacia_savanna,15.21819889,-14.79712467
29,57,res_57,2004,July_to_october,Rainy,,,Sheep,51,Senegal,ngao,"Ngao, Senegal",,Sahelian_acacia_savanna,15.21819889,-14.79712467
29,58,res_58,2003,July_to_october,Rainy,,,Sheep,94,Senegal,niaka,"Niaka, Senegal",,Sahelian_acacia_savanna,15.29624869,-14.90269287
29,59,res_59,2004,July_to_october,Rainy,,,Sheep,40,Senegal,niaka,"Niaka, Senegal",,Sahelian_acacia_savanna,15.29624869,-14.90269287
36,60,res_60,2017,April,Dry,,,Cattle,19,Gambia,sambel_kunda,"Sambel Kunda, Gambia",,West_sudanian_savanna,13.553951,-15.261506
36,61,res_61,2017,May,Dry,,,Cattle,40,Gambia,kuli_kunda,"Kuli Kunda, Gambia",,Guinean_forest_savanna_mosaic,13.33790581,-15.92131894
36,62,res_62,2017,May,Dry,,,Cattle,37,Gambia,karantaba,"Karantaba, Gambia",,Guinean_mangroves,13.35226565,-16.15245381
36,63,res_63,2017,May,Dry,,,Cattle,40,Gambia,tankular,"Tankular, Gambia",,Guinean_forest_savanna_mosaic,13.41742104,-16.0334578
36,64,res_64,2017,April,Dry,,,Goat,32,Gambia,yerro_bere_kunda,"Yerro Bere Kunda, Gambia",,West_sudanian_savanna,13.50298469,-14.74165985
36,65,res_65,2017,April,Dry,,,Sheep,30,Gambia,yerro_bere_kunda,"Yerro Bere Kunda, Gambia",,West_sudanian_savanna,13.50298469,-14.74165985
36,66,res_66,2017,June,Dry,,,Goat,10,Gambia,keneba,"Keneba, Gambia",,Guinean_forest_savanna_mosaic,13.33135085,-16.01034911
36,67,res_67,2017,June,Dry,,,Sheep,10,Gambia,keneba,"Keneba, Gambia",,Guinean_forest_savanna_mosaic,13.33135085,-16.01034911
36,68,res_68,2017,June,Dry,,,Sheep,19,Gambia,jali,"Jali, Gambia",,Guinean_forest_savanna_mosaic,13.35171854,-15.96781157
38,69,res_69,,,,,,Sheep,46,Gambia,keneba,"Keneba, Gambia",,Guinean_forest_savanna_mosaic,13.33363555,-16.00944323
38,70,res_70,,,,,,Goat,46,Gambia,keneba,"Keneba, Gambia",,Guinean_forest_savanna_mosaic,13.33363555,-16.00944323
50,71,res_71,,,,,,Sheep,30,Gambia,idite,"Idite, Gambia",Desert,Sahelian_acacia_savanna,15.91783314,-13.71734984
70,72,res_72,1993,March,Dry,,,Cattle,2000,Gambia,dankunku,"Dankunku, Gambia",,West_sudanian_savanna,13.57119537,-15.32619487
72,73,res_73,2021_2022,All_months,Both,,,Sheep,173,Gambia,idite,"Idite, Gambia",Desert,Sahelian_acacia_savanna,15.91783314,-13.71734984
82,74,res_74,1997_1998,All_months,Both,,,Equids,11,Gambia,niamina,"Niamina, Gambia",,West_sudanian_savanna,13.6639127,-15.0592638
82,75,res_75,1997_1998,All_months,Both,,,Equids,67,Gambia,bansang,"Bansang, Gambia",,West_sudanian_savanna,13.43482884,-14.65709225
83,76,res_76,1987_1988,November_february,Dry,,,Sheep,37,Senegal,saint_louis,"Saint Louis, Senegal",,Sahelian_acacia_savanna,15.8792355,-14.21706495
83,77,res_77,1987_1989,November_february,Dry,,,Sheep,9,Senegal,saint_louis,"Saint Louis, Senegal",,Sahelian_acacia_savanna,15.2958918,-13.95508802
83,78,res_78,1987_1990,November_february,Dry,,,Sheep,16,Senegal,saint_louis,"Saint Louis, Senegal",,Sahelian_acacia_savanna,15.60354408,-13.31420507
83,79,res_79,1987_1991,November_february,Dry,,,Sheep,30,Senegal,saint_louis,"Saint Louis, Senegal",,Sahelian_acacia_savanna,14.67378299,-13.35401068
83,80,res_80,1987_1992,November_february,Dry,,,Goat,41,Senegal,saint_louis,"Saint Louis, Senegal",,Sahelian_acacia_savanna,15.8792355,-14.21706495
83,81,res_81,1987_1993,November_february,Dry,,,Goat,15,Senegal,saint_louis,"Saint Louis, Senegal",,Sahelian_acacia_savanna,15.2958918,-13.95508802
83,82,res_82,1987_1994,November_february,Dry,,,Goat,20,Senegal,saint_louis,"Saint Louis, Senegal",,Sahelian_acacia_savanna,15.60354408,-13.31420507
83,83,res_83,1987_1995,November_february,Dry,,,Goat,37,Senegal,saint_louis,"Saint Louis, Senegal",,Sahelian_acacia_savanna,14.67378299,-13.35401068
83,84,res_84,1987_1996,November_february,Dry,,,Sheep,78,Senegal,louga,"Louga, Senegal",,Sahelian_acacia_savanna,15.76439152,-16.44606756
83,85,res_85,1987_1997,November_february,Dry,,,Sheep,193,Senegal,louga,"Louga, Senegal",,Sahelian_acacia_savanna,15.61459741,-16.22886733
83,86,res_86,1987_1998,November_february,Dry,,,Sheep,60,Senegal,louga,"Louga, Senegal",,Sahelian_acacia_savanna,15.39348472,-15.10948433
83,87,res_87,1987_1999,November_february,Dry,,,Sheep,60,Senegal,louga,"Louga, Senegal",,Sahelian_acacia_savanna,15.50408663,-15.99071053
83,88,res_88,1987_2000,November_february,Dry,,,Goat,76,Senegal,louga,"Louga, Senegal",,Sahelian_acacia_savanna,15.76439152,-16.44606756
83,89,res_89,1987_2001,November_february,Dry,,,Goat,158,Senegal,louga,"Louga, Senegal",,Sahelian_acacia_savanna,15.61459741,-16.22886733
83,90,res_90,1987_2002,November_february,Dry,,,Goat,55,Senegal,louga,"Louga, Senegal",,Sahelian_acacia_savanna,15.39348472,-15.10948433
83,91,res_91,1987_2003,November_february,Dry,,,Goat,60,Senegal,louga,"Louga, Senegal",,Sahelian_acacia_savanna,15.50408663,-15.99071053
83,92,res_92,1987_2004,November_february,Dry,,,Sheep,48,Senegal,thies,"Thies, Senegal",,Guinean_forest_savanna_mosaic,14.7903872,-16.93651373
83,93,res_93,1987_2005,November_february,Dry,,,Goat,47,Senegal,thies,"Thies, Senegal",,Guinean_forest_savanna_mosaic,14.7903872,-16.93651373
83,94,res_94,1987_2006,November_february,Dry,,,Sheep,44,Senegal,diourbel,"Diourbel, Senegal",,West_sudanian_savanna,14.86669404,-15.8992259
83,95,res_95,1987_2007,November_february,Dry,,,Goat,30,Senegal,diourbel,"Diourbel, Senegal",,West_sudanian_savanna,14.86669404,-15.8992259
83,96,res_96,1987_2008,November_february,Dry,,,Sheep,41,Senegal,fatick,"Fatick, Senegal",,West_sudanian_savanna,14.1258715,-16.46652156
83,97,res_97,1987_2009,November_february,Dry,,,Goat,42,Senegal,fatick,"Fatick, Senegal",,West_sudanian_savanna,14.1258715,-16.46652156
83,98,res_98,1987_2010,November_february,Dry,,,Sheep,66,Senegal,kaolack,"Kaolack, Senegal",,West_sudanian_savanna,14.16555105,-16.07527076
83,99,res_99,1987_2011,November_february,Dry,,,Sheep,33,Senegal,kaolack,"Kaolack, Senegal",,West_sudanian_savanna,14.51330134,-14.71843732
83,100,res_100,1987_2012,November_february,Dry,,,Goat,53,Senegal,kaolack,"Kaolack, Senegal",,West_sudanian_savanna,14.16555105,-16.07527076
83,101,res_101,1987_2013,November_february,Dry,,,Goat,35,Senegal,kaolack,"Kaolack, Senegal",,West_sudanian_savanna,14.51330134,-14.71843732
83,102,res_102,1987_2014,November_february,Dry,,,Sheep,20,Senegal,tambacounda,"Tambacounda, Senegal",,West_sudanian_savanna,14.1279916,-13.96756486
83,103,res_103,1987_2015,November_february,Dry,,,Sheep,21,Senegal,tambacounda,"Tambacounda, Senegal",,West_sudanian_savanna,13.77256099,-13.66827449
83,104,res_104,1987_2016,November_february,Dry,,,Sheep,22,Senegal,tambacounda,"Tambacounda, Senegal",,West_sudanian_savanna,13.07691959,-12.71372564
83,105,res_105,1987_2017,November_february,Dry,,,Sheep,12,Senegal,tambacounda,"Tambacounda, Senegal",,West_sudanian_savanna,13.4026499,-12.54472485
83,106,res_106,1987_2018,November_february,Dry,,,Sheep,21,Senegal,tambacounda,"Tambacounda, Senegal",,West_sudanian_savanna,14.01706087,-13.15576521
83,107,res_107,1987_2019,November_february,Dry,,,Sheep,45,Senegal,kolda,"Kolda, Senegal",,Guinean_forest_savanna_mosaic,13.29779175,-15.73718212
83,108,res_108,1987_2020,November_february,Dry,,,Sheep,19,Senegal,kolda,"Kolda, Senegal",,Guinean_forest_savanna_mosaic,13.23054687,-15.4339587
83,109,res_109,1987_2021,November_february,Dry,,,Sheep,34,Senegal,kolda,"Kolda, Senegal",,Guinean_forest_savanna_mosaic,13.14936937,-14.10688167
83,110,res_110,1987_2022,November_february,Dry,,,Sheep,37,Senegal,ziguinchor,"Ziguinchor, Senegal",,Guinean_forest_savanna_mosaic,12.56522068,-16.26211724
88,111,res_111,2011,,,,,Dog,1,Senegal,linguiere,"Linguiere, Senegal",,Sahelian_acacia_savanna,15.3957951,-15.11091882
88,112,res_112,2010,,,,,Dog,1,Senegal,dakar,"Dakar, Senegal",,West_sudanian_savanna,14.7159504,-17.46441283
88,113,res_113,2008,,,,,Dog,1,Senegal,dakar,"Dakar, Senegal",,West_sudanian_savanna,14.7159504,-17.46441283
88,114,res_114,2011,,,,,Honey_badger,1,Senegal,dahra,"Dahra, Senegal",,Sahelian_acacia_savanna,15.35614089,-15.48323864
88,115,res_115,2011,,,,,Dog,1,Senegal,dahra,"Dahra, Senegal",,Sahelian_acacia_savanna,15.35614089,-15.48323864
88,116,res_116,2013,,,,,Dog,1,Senegal,diamniadio,"Diamniadio, Senegal",,Guinean_mangroves,14.0657594,-16.57523295
88,117,res_117,2010,,,,,Dog,1,Senegal,dakar,"Dakar, Senegal",,West_sudanian_savanna,14.7159504,-17.46441283
88,118,res_118,2013,,,,,Dog,1,Senegal,dakar,"Dakar, Senegal",,West_sudanian_savanna,14.7159504,-17.46441283
88,119,res_119,2014,,,,,Dog,1,Senegal,dakar,"Dakar, Senegal",,West_sudanian_savanna,14.7159504,-17.46441283
88,120,res_120,2014,,,,,Dog,1,Senegal,dakar,"Dakar, Senegal",,West_sudanian_savanna,14.7159504,-17.46441283
88,121,res_121,2013,,,,,Dog,1,Senegal,dakar,"Dakar, Senegal",,West_sudanian_savanna,14.7159504,-17.46441283
88,122,res_122,2014,,,,,Dog,1,Senegal,dakar,"Dakar, Senegal",,West_sudanian_savanna,14.7159504,-17.46441283
88,123,res_123,2011,,,,,Dog,1,Senegal,dahra,"Dahra, Senegal",,Sahelian_acacia_savanna,15.35614089,-15.48323864
88,124,res_124,2015,,,,,Dog,1,Senegal,dakar,"Dakar, Senegal",,West_sudanian_savanna,14.7159504,-17.46441283
96,125,res_125,1988,January,Dry,,,Cattle,7,Gambia,farafenni,"Farafenni, Gambia",,West_sudanian_savanna,13.5724095,-15.59991637
96,126,res_126,1988,January,Dry,,,Sheep,108,Gambia,farafenni,"Farafenni, Gambia",,West_sudanian_savanna,13.5724095,-15.59991637
96,127,res_127,1988,January,Dry,,,Goat,21,Gambia,farafenni,"Farafenni, Gambia",,West_sudanian_savanna,13.5724095,-15.59991637
96,128,res_128,1988,January,Dry,,,Sheep,10,Senegal,somone,"Somone, Senegal",,Guinean_forest_savanna_mosaic,14.4850848,-17.07466457
96,129,res_129,1988,January,Dry,,,Goat,19,Senegal,somone,"Somone, Senegal",,Guinean_forest_savanna_mosaic,14.4850848,-17.07466457
96,130,res_130,1988,January,Dry,,,Cattle,17,Senegal,dagana,"Dagana, Senegal",,Sahelian_acacia_savanna,16.51116222,-15.50232689
96,131,res_131,1988,January,Dry,,,Sheep,128,Senegal,dagana,"Dagana, Senegal",,Sahelian_acacia_savanna,16.51116222,-15.50232689
96,132,res_132,1988,January,Dry,,,Goat,327,Senegal,dagana,"Dagana, Senegal",,Sahelian_acacia_savanna,16.51116222,-15.50232689
100,133,res_133,2015,August,Rainy,,,Sheep,66,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26471464,-14.44984076
100,134,res_134,2015,August,Rainy,,,Goat,28,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26456245,-14.44519342
100,135,res_135,2015,August,Rainy,,,Cattle,26,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26471464,-14.44984076
100,136,res_136,2015,September,Rainy,,,Sheep,174,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26456245,-14.44519342
100,137,res_137,2015,September,Rainy,,,Goat,85,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26471464,-14.44984076
100,138,res_138,2015,September,Rainy,,,Cattle,11,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26456245,-14.44519342
100,139,res_139,2015,December,Dry,,,Sheep,95,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26471464,-14.44984076
100,140,res_140,2015,December,Dry,,,Goat,22,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26456245,-14.44519342
100,141,res_141,2015,December,Dry,,,Cattle,33,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26471464,-14.44984076
100,142,res_142,2016,January,Dry,,,Sheep,94,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26456245,-14.44519342
100,143,res_143,2016,January,Dry,,,Goat,26,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26471464,-14.44984076
100,144,res_144,2016,May,Dry,,,Sheep,168,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26456245,-14.44519342
100,145,res_145,2016,May,Dry,,,Goat,54,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26471464,-14.44984076
101,146,res_146,1989,February_may,Dry,,,Sheep,375,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26905381,-14.4634345
102,147,res_147,2003,July_to_october,Rainy,,,Small_ruminants,100,Senegal,barkedji,"Barkedji, Senegal",,Sahelian_acacia_savanna,15.27748259,-14.86746394
102,148,res_148,2003,July_to_october,Rainy,,,Small_ruminants,40,Senegal,furdu,"Furdu, Senegal",,Sahelian_acacia_savanna,15.22194049,-14.82378423
102,149,res_149,2003,July_to_october,Rainy,,,Small_ruminants,86,Senegal,kangaledji,"Kangaledji, Senegal",,Sahelian_acacia_savanna,15.26654812,-14.85807011
102,150,res_150,2003,July_to_october,Rainy,,,Small_ruminants,101,Senegal,loumbel_lana,"Loumbel Lana, Senegal",,Sahelian_acacia_savanna,15.26664133,-14.73308908
102,151,res_151,2003,July_to_october,Rainy,,,Small_ruminants,90,Senegal,ngao,"Ngao, Senegal",,Sahelian_acacia_savanna,15.21663381,-14.79954877
102,152,res_152,2003,July_to_october,Rainy,,,Small_ruminants,94,Senegal,niaka,"Niaka, Senegal",,Sahelian_acacia_savanna,15.2946202,-14.90687148
102,153,res_153,2003,July_to_october,Rainy,,,Small_ruminants,99,Senegal,yaralope,"Yaralope, Senegal",,Sahelian_acacia_savanna,15.39724786,-14.78328415
105,154,res_154,1994,June_to_december,Both,,,Small_ruminants,40,Senegal,ross_bethio,"Ross Bethio, Senegal",,Sahelian_acacia_savanna,16.27759604,-16.13908283
105,155,res_155,1994,June_to_december,Both,,,Small_ruminants,1,Senegal,niandane,"Niandane, Senegal",,Sahelian_acacia_savanna,16.59421161,-14.98994486
105,156,res_156,1994,June_to_december,Both,,,Small_ruminants,1,Senegal,niassante,"Niassante, Senegal",,Sahelian_acacia_savanna,16.16826272,-15.55007113
105,157,res_157,1994,June_to_december,Both,,,Small_ruminants,1,Senegal,rao,"Rao, Senegal",,Sahelian_acacia_savanna,15.92278959,-16.39621292
105,158,res_158,1994,June_to_december,Both,,,Small_ruminants,1,Senegal,m_pal,"M Pal, Senegal",,Sahelian_acacia_savanna,15.92126937,-16.26665349
