study_id,vector_id,associated_pathogen_id,associated_reservoir_id,year,month,season,genus,species,sample_size,sampling_method,country,location_name,topography,ecoregion,gps_latitude,gps_longitude,comment
44,44,94,,1995,november,dry,aedes,sudanensis,1,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
44,45,95,,1995,november,dry,aedes,vexans,3,hand_catching,senegal,koungheul,,west_sudanian_savanna,13.9800968,-14.80110891,
60,46,,,1979,november,dry,aedes,aegypti,37,hand_catching,senegal,toubakouta,,guinean_forest_savanna_mosaic,13.78207683,-16.46960076,
60,47,,,1979,november,dry,aedes,luteocephalus,1,hand_catching,senegal,toubakouta,,guinean_forest_savanna_mosaic,13.78207683,-16.46960076,
60,48,,,1979,november,dry,aedes,furficer_taylori,6,hand_catching,senegal,toubakouta,,guinean_forest_savanna_mosaic,13.78207683,-16.46960076,
60,49,,,1979,november,dry,aedes,aegypti,1,hand_catching,senegal,karang,,guinean_forest_savanna_mosaic,13.60504976,-16.42610138,
60,50,,,1979,november,dry,aedes,aegypti,6,hand_catching,senegal,sokone,,guinean_forest_savanna_mosaic,13.8777746,-16.37268552,
60,51,,,1979,november,dry,aedes,luteocephalus,1,hand_catching,senegal,sokone,,guinean_forest_savanna_mosaic,13.8777746,-16.37268552,
60,52,,,1979,november,dry,aedes,aegypti,4,hand_catching,senegal,foundiougne,,guinean_forest_savanna_mosaic,14.12401404,-16.46707752,
70,53,,,1993,march,dry,glossina,morsitans,664,blue_box_traps,senegal,dankunku,,west_sudanian_savanna,13.57119537,-15.32619487,
72,54,,,2021_2022,all_months,both,hyalomma,impeltatum,1784,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
72,55,,,2021_2022,all_months,both,rhipicephalus,guilhoni,220,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
72,56,,,2021_2022,all_months,both,rhipicephalus,muhsamae,108,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
72,57,,,2021_2022,all_months,both,rhipicephalus,evertesi_evertesi,77,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
72,58,,,2021_2022,all_months,both,hyalomma,truncatum,37,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
72,59,,,2021_2022,all_months,both,hyalomma,marginatum_rufipes,12,,senegal,idite,desert,sahelian_acacia_savanna,15.91783314,-13.71734984,
76,60,,,2010,september,rainy,aedes,furcifer,708,,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,61,,,2010,october ,rainy,aedes,furcifer,1916,,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,62,,,2010,november,rainy,aedes,furcifer,269,,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,63,,,2010,september,rainy,aedes,luteocephalus,702,,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,64,,,2010,october ,rainy,aedes,luteocephalus,1148,,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,65,,,2010,november,rainy,aedes,luteocephalus,160,,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,66,,,2010,september,rainy,aedes,taylori,97,,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,67,,,2010,october ,rainy,aedes,taylori,172,,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
76,68,,,2010,november,rainy,aedes,taylori,261,,senegal,kedougou,highlands,west_sudanian_savanna,12.56022099,-12.17433629,
78,69,133,,1983,october ,rainy,aedes,dalzieli,1,,senegal,kedougou,highlands,west_sudanian_savanna,12.55539463,-12.18004146,
78,70,135,,1993,october ,rainy,aedes ,vexans,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27755723,-14.86739345,
78,71,137,,1993,october ,rainy,aedes ,vexans,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27755723,-14.86739345,
78,72,138,,1993,october ,rainy,aedes ,vexans,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27755723,-14.86739345,
78,73,139,,1998,november,dry,culex,poicilipes,1,,senegal,diawara,,sahelian_acacia_savanna,15.01865142,-12.54385367,
78,74,140,,1998,november,dry,culex,poicilipes,1,,senegal,diawara,,sahelian_acacia_savanna,15.01865142,-12.54385367,
78,75,141,,1998,november,dry,culex,poicilipes,1,,senegal,diawara,,sahelian_acacia_savanna,15.01865142,-12.54385367,
78,76,142,,1998,november,dry,culex,poicilipes,1,,senegal,diawara,,sahelian_acacia_savanna,15.01865142,-12.54385367,
78,77,143,,2002,october,rainy,aedes ,vexans,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,78,144,,2002,november,dry,culex,poicilipes,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,79,145,,2002,november,dry,culex,poicilipes,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,80,146,,2002,november,dry,culex,poicilipes,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,81,147,,2003,october,rainy,culex,poicilipes,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,82,148,,2003,october,rainy,culex,poicilipes,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,83,149,,2003,october,rainy,mansonia,uniformis,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
78,84,150,,2003,november,dry,mansonia,africana,1,,senegal,barkedji,,sahelian_acacia_savanna,15.27729708,-14.86687941,
91,218,218,,2002,october,rainy,aedes,vexans,16631,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,220,220,,2002,october,rainy,culex,poicilipes,3403,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,221,221,,2002,november,dry,culex,poicilipes,17712,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,222,222,,2002,october,rainy,mansonia,africana,429,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,223,223,,2002,november,dry,mansonia,africana,3315,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,224,224,,2002,october,rainy,mansonia,uniformis,1114,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,226,226,,2003,october,rainy,aedes,fowleri,1,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,228,228,,2003,october,rainy,aedes,vexans,102,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,230,230,,2003,october,rainy,culex,poicilipes,2996,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,231,231,,2003,november,dry,culex,poicilipes,2194,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,232,232,,2003,october,rainy,mansonia,africana,625,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,233,233,,2003,november,dry,mansonia,africana,443,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,234,234,,2003,october,rainy,mansonia,uniformis,903,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
91,235,235,,2003,november,dry,mansonia,uniformis,118,co2_traps,senegal,barkedji,,sahelian_acacia_savanna,15.27760441,-14.86718932,
101,236,,,1989,july,rainy,aedes,dalzieli,99,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,237,,,1990,december,dry,aedes,dalzieli,12,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,238,,,1989,july,rainy,aedes,fowleri,26,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,239,,,1990,december,dry,aedes,fowleri,0,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,240,,,1989,july,rainy,aedes,metallicus,1,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,241,,,1990,december,dry,aedes,metallicus,0,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,242,,,1989,july,rainy,aedes,sudanensis,19,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,243,,,1990,december,dry,aedes,sudanensis,4,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,244,,,1989,july,rainy,aedes,vexans,1391,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,245,,,1990,december,dry,aedes,vexans,550,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,246,,,1989,july,rainy,culex,antennatus,33,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,247,,,1990,december,dry,culex,antennatus,3,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,248,,,1989,july,rainy,culex,neavei,15,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,249,,,1990,december,dry,culex,neavei,13,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
101,250,,,1989,july,rainy,culex,poicilipes,56,light_traps,senegal,yonofere,,sahelian_acacia_savanna,15.26905381,-14.4634345,
